author,content
AndrzejDuda,"Dziś kolejna smutna wiadomość. Odszedł Franciszek Pieczka - wspaniały Człowiek, Syn śląskiej ziemi, Kawaler Orderu Orła Białego, wybitna Postać polskiej sceny teatralnej i filmowej. Pozostaje żywy i niezapomniany w swoich kreacjach aktorskich, zwłaszcza filmowych. R.I.P."
AndrzejDuda,"Przed chwilą w New Jersey pożegnaliśmy Pana Edwarda Mosberga, Ocalałego z Holokaustu polskiego Żyda, niestrudzonego i odważnego Świadka historii, Patriotę, niezłomnego Obrońcę dobrego imienia Polski i Polaków. Dziękujemy Panu Bogu za Jego piękne życie. R.I.P. https://t.co/DPIneGEvDF"
AndrzejDuda,"Świetny dzień (i noc) polskich Sportowców! Najpierw sukces naszych Siatkarzy i bilet do finału MŚ👍, a teraz wielkie zwycięstwo @iga_swiatek w finale US Open 2022 i tym samym kolejny historyczny triumf naszej wspaniałej Tenisistki! Brawo! Gratulujemy i DZIĘKUJEMY! 🇵🇱👏👏👏"
AndrzejDuda,"W ciągu kilkudziesięciu godzin rozmawiałem z trzema wybitnymi liderami Afryki @MBuhari 🇳🇬 @AOuattara_PRCI 🇨🇮 i @Macky_Sall 🇸🇳. Rozmawialiśmy o Ukrainie, o żywności i surowcach. Zachód musi traktować Afrykę jak partnera. Również jeśli chce skutecznie zwalczać kremlowskie kłamstwa."
AndrzejDuda,My deepest condolences to the Royal Family and all the British people on passing of Her Majesty The Queen. For decades she has been an embodiment of everything that makes Britain truly Great. She will be missed and remembered in Poland and all over the world.
AndrzejDuda,Solidarność / Solidarity
AndrzejDuda,"Ze smutkiem przyjąłem wiadomość o odejściu wybitnego polityka samorządowego Tadeusza Ferenca. Przez lata służby publicznej, jako Prezydent Rzeszowa zmienił oblicze Miasta, łącząc jego tradycyjne piękno z nowoczesnością. Pozostawia trwały wkład w rozwój samorządu w Polsce. R.I.P."
AndrzejDuda,"Ukraina świętuje dzisiaj rocznicę swojej Niepodległości, a Polska jest dumna, że była pierwszym państwem, które ją uznało. Wczoraj i dziś złożyłem życzenia prezydentowi @ZelenskyyUa i Narodowi Ukrainy. Dziękuję też moim Poprzednikom za wkład w relacje polsko-ukraińskie. 🇵🇱🤝🇺🇦"
AndrzejDuda,Kolejna ważna wizyta w Kijowie zakończyła się szczęśliwym i spokojnym powrotem do Polski. Bardzo dziękuję wszystkim Funkcjonariuszom SOP i innych Służb (PL i UA) oraz Żołnierzom JW Grom i UA za zapewnienie polskiej delegacji bezpieczeństwa w czasie pobytu na Ukrainie. 🇵🇱🤝🇺🇦
AndrzejDuda,"W związku z tragicznym wypadkiem polskiego autokaru w Chorwacji, w wyniku którego zginęło 11 osób a 34 są ranne, we współpracy z chorwackimi służbami ratowniczymi i władzami podejmujemy wszelkie możliwe działania aby pomóc naszym Rodakom. Rodzinom Ofiar składam wyrazy współczucia"
AndrzejDuda,"1 sierpnia,  godzina 17:00. Gloria Victis. 
Chwała Bohaterom Powstania Warszawskiego! Wieczna pamięć Poległym! https://t.co/ZKfRIAGM73"
AndrzejDuda,"Bardzo się cieszę z rozmowy z Przewodniczącym 🇨🇳 Xi Jinpingiem. Rozmawialiśmy o Ukrainie i jej integralności terytorialnej, mówiłem o konieczności walki z wywoływanym przez Rosję kryzysem żywnościowym, omówiliśmy relacje 🇵🇱🇨🇳, których rozwój jest istotnym punktem polityki RP."
AndrzejDuda,"Дякую, Україно, що ти є! І за те, що захищаєш Польщу та Європу від тиранії та поневолення. Хочу висловити найкращі вітання всім українцям і українкам з нагоди Дня Державності України. 🇵🇱🤝🇺🇦 https://t.co/edsrMbWUbH"
AndrzejDuda,"Dziękuję, Ukraino za to, że jesteś! I że bronisz Polski i Europy przed tyranią i zniewoleniem. Wszystkim Ukraińcom i Ukrainkom składam najserdeczniejsze życzenia z okazji Dnia Państwowości Ukraińskiej. 🇵🇱🤝🇺🇦 https://t.co/aykF9wCQTd"
AndrzejDuda,"Dwa dni niezwykle cennych rozmów z prezydentem Litwy @GitanasNauseda . Nasze kraje nie zmniejszą zaangażowania na Ukrainie, obaj planujemy kolejne podróże do Kijowa, nie będziemy też ulegać żadnym szantażom ze strony Rosji. Litwa i Polska zwiększą też współpracę wojskową. 🇵🇱🤝🇱🇹 https://t.co/JfPNDDJTV7"
AndrzejDuda,"Drugi dzień konsultacji polsko-litewskich nad Bałtykiem. Sytuacja międzynarodowa jest trudna ale w tym kontekście jeszcze wyraźniej widać wartość dobrych relacji, jedności, wspólnego planowania, koordynacji działań politycznych, wzajemnego zrozumienia potrzeb i interesów. 🇵🇱🤝🇱🇹 https://t.co/JRCw8D1bJj"
AndrzejDuda,"Po wyrażeniu przez Polskę i Litwę zgody na akcesję Finlandii i Szwecji do NATO, polsko-litewskie prezydenckie konsultacje nad Bałtykiem zyskują nowy, symboliczny wymiar. #WeAreNATO #StrongerTogether https://t.co/NUETds4OTZ"
AndrzejDuda,Dėkoju savo draugui @GitanasNauseda už apsilankymą ir itin vertingą pokalbį. Lenkija ir Lietuva nuo pat pradžių palaikė Ukrainą ir priešinosi Kremliaus tironijai bei  imperializmui. Ir toliau tariamės dėl visų svarbiausių bendrų veiksmų. 🇵🇱🤝🇱🇹 https://t.co/3XRN1ZrRLG
AndrzejDuda,Dziękuję mojemu Przyjacielowi @GitanasNauseda za wizytę i bardzo cenne konsultacje. Polska i Litwa od początku wspierają Ukrainę i przeciwstawiają się tyranii oraz imperializmowi Kremla. Omawiamy i konsultujemy wszystkie nasze najważniejsze wspólne działania. 🇵🇱🤝🇱🇹 https://t.co/n5Mbbdyiuq
AndrzejDuda,"Welcome to @NATO , Finland 🇫🇮 and Sweden 🇸🇪. 

Together we are stronger! 

Congratulations to @niinisto @SwedishPM @MarinSanna @jensstoltenberg https://t.co/YJIjYqf8Jm"
AndrzejDuda,"Dziś, w blisko godzinnej rozmowie z Prezydentem @ZelenskyyUa, z udziałem naszych współpracowników m. in.  @AndriyYermak @andrii_sybiha i @JakubKumoch, szczegółowo omówiliśmy obecną sytuację wojenną, pomoc dla Ukrainy i koordynację dalszych działań. 🇵🇱🤝🇺🇦"
AndrzejDuda,"Fenomenalny dzień naszych młociarzy w Eugene! Paweł Fajdek Mistrzem Świata (5 raz!), Wojciech Nowicki ze srebrnym medalem! Tego jeszcze nie było! Brawo Panowie! Dziękujemy! Gratulacje!"
AndrzejDuda,"Dziś z Prezydent @sandumaiamd uczciliśmy 30-lecie stosunków 🇵🇱🇲🇩 i wielki sukces: status kandydata Mołdawii do 🇪🇺. Polska wspiera wszystkie Narody naszej części Europy, które odważnie stawiają czoła rosyjskiej tyranii. Razem nasz region jest siłą. 🇵🇱🤝🇲🇩 https://t.co/3NxsOeXDRC"
AndrzejDuda,"Przyjąłem dzisiaj listy uwierzytelniające m. in. od Ambasadorów Ukrainy i Niemiec, naszych dwóch kluczowych sąsiadów. Polska pragnie partnerskich stosunków z Niemcami. Nie ustanie też w wysiłkach na rzecz wspierania Ukrainy w jej walce z rosyjską agresją. https://t.co/tabs24GKqS"
AndrzejDuda,"Zgodziliśmy się z Prezydentem @Isaac_Herzog, że czas wrócić do normalnych relacji 🇵🇱🇮🇱. Pierwszy krok wykonany. Ambasador @YacovLivne złożył dziś listy uwierzytelniające. Prezydent Herzog prosił mnie o przywrócenie Ambasadora RP w Izraelu. Liczę, że wkrótce do tego dojdzie."
AndrzejDuda,"A great leader of Japan and wonderful friend of Poland has passed away today.
We are all shocked by the brutal murder of former Prime Minister of Japan, Shinzo Abe.
I mourn along with his family, his friends and all the people of Japan. My thoughts and prayers are with you."
AndrzejDuda,"Razem z Prezydentem Litwy @GitanasNauseda jesteśmy przy polsko-litewskiej granicy, czyli na „Przesmyku Suwalskim”. Spotykamy się tu z naszymi żołnierzami, którzy pełnią służbę w ramach @NATO. Jesteśmy tutaj, żeby pokazać, że jesteśmy bezpieczni! 🇵🇱🤝🇱🇹 https://t.co/sJSJNVwk5q"
AndrzejDuda,"W Belwederze odbędzie się dziś posiedzenie Rady Bezpieczeństwa Narodowego. Bez podziałów, bez dzielenia na rządzących i opozycję, usiądziemy przy jednym stole i będziemy rozmawiali o ważnych dla Polski sprawach związanych z bezpieczeństwem, po szczcie NATO w Madrycie. https://t.co/tRnqYQBYvk"
AndrzejDuda,"On the eve of the Madrid NATO summit Russia has just commited yet another war crime against civilians. This time in Kremenchuk, Ukraine. Shelling a mall full of innocent people has to be answered with more military support to Ukraine, the Defenders of Europe."
AndrzejDuda,The European Council decided to grant Ukraine and Moldova the status of EU candidates. Great news! Congratulations! We’ve actively supported UA and MD’s efforts and we rejoice with them! The door to the EU should be open to ambitious societies. Glory to the Defenders of Ukraine!
AndrzejDuda,"Rada Europejska zdecydowała o przyznaniu Ukrainie i Mołdawii statusu kandydatów do UE. To świetna wiadomość! Gratulujemy! Aktywnie wspieraliśmy wnioski UA i MD, a teraz cieszymy się razem z Nimi! Drzwi do UE powinny być otwarte dla ambitnych społeczeństw. Chwała Obrońcom Ukrainy!"
AndrzejDuda,"Dzisiaj po raz pierwszy obchodzimy Narodowy Dzień Powstań Śląskich. Wszyscy razem pokażmy, że pamiętamy o Bohaterach ze Śląska! 🇵🇱 https://t.co/Gbz4IDz9lJ"
AndrzejDuda,"Rekomendacja Komisji by już teraz przyznać Ukrainie i Mołdawii status państw kandydujących do UE to doskonała wiadomość i dobrze, że zbiega się w czasie z podobną deklaracją Francji i Niemiec. Państwa naszego regionu, w tym Polska, będą przekonywać ostatnich niezdecydowanych."
AndrzejDuda,"The visit by Presidents E.Macron &amp; K.Iohannis, Chancellor O.Scholz &amp; PM M.Draghi in Kyiv is a very good signal before voting on the status of EU candidate for Ukraine. Thank you!
The visit to Irpien is very important. One can see there how total and brutal Russian aggression is."
AndrzejDuda,"Wizyta Prezydentów E.Macrona i K.Iohannisa oraz Kanclerza O.Scholza i Premiera M.Draghi w Kijowie to bardzo dobry sygnał przed głosowaniem nad statusem kandydata do UE dla Ukrainy. Dziękuję! 
Wizyta w Irpieniu bardzo ważna. Widać tam jak totalna i brutalna jest rosyjska agresja."
AndrzejDuda,"Iga Świątek jest nie tylko urodzoną fighterką i wielką gwiazdą światowego tenisa, która z klasą pokonuje rywalki, idąc od zwycięstwa do zwycięstwa. Jest także mądrą młodą Kobietą, która ma odwagę i serce. Dziękujemy, Pani Igo! Jesteśmy z Pani zwyczajnie dumni!"
AndrzejDuda,"Dzisiaj mija setny dzień bohaterskiej obrony Ukrainy. Mówiłem o tym w Kijowie i powtarzam: Polska od początku wierzyła w siłę ukraińskiego oporu. Jesteśmy dumni, że solidarnie możemy wspierać Ukraińców w Ich starciu ze zbrodniczą rosyjską agresją. 
Ще не вмерла Україна! 🇵🇱🤝🇺🇦"
AndrzejDuda,"Cieszę się, że dzisiaj rusza program #ZdroweŻycie. Dla każdej rodziny, dla każdego! Lepiej zapobiegać niż leczyć. https://t.co/8NlGOdlcDt"
AndrzejDuda,To był bardzo intensywny dzień na #WEF22 w @Davos. Wiele spotkań. Ważne rozmowy o sprawach Polski i naszego regionu. Na koniec wizyty odwiedziłem Dom Ukraiński. Dziękuję za serdeczne przyjęcie! 🇵🇱🤝🇺🇦 https://t.co/rZfZjwtlbL
AndrzejDuda,"Dziękuję wszystkim żołnierzom z Polski, USA, Wielkiej Brytanii, Niemiec, Francji i Danii ćwiczącym w Polsce podczas Defender Europe-22. Dziękuję żołnierzom ze Szwecji i mam nadzieję, że na kolejnych ćwiczeniach spotkamy się już nie jako partnerzy, a sojusznicy w NATO! https://t.co/UhZMhQuOb1"
AndrzejDuda,"Wielkie gratulacje dla polskich sportowców niesłyszących, którzy podczas XXIV Letnich Igrzysk Głuchych w Caxias do Sul w Brazylii zdobyli 42 medale, w tym 8 złotych, 22 srebrne i 12 brązowych! To największy sukces od igrzysk w 1961 roku w Helsinkach. Brawo! Dziękujemy! 👏🇵🇱👍"
AndrzejDuda,"Wszystkich TT-owiczów, którzy pamiętali o mojej rocznicy (50;-), serdecznie pozdrawiam, dziękuję za życzenia i miłe słowo. Dobrej nocy!"
AndrzejDuda,"Z żalem przyjąłem wiadomość o śmierci Łeonida Krawczuka, pierwszego prezydenta wolnej Ukrainy, który w 1991 r., wraz z przywódcami ówczesnej Rosji i Białorusi, rozwiązał Związek Sowiecki. Odszedł gdy Naród Ukrainy toczy heroiczną walkę w obronie Europy. Cześć Jego pamięci! R.I.P."
AndrzejDuda,"Z wielkim smutkiem przyjąłem wiadomość o odejściu prof. Waldemara Parucha. Polska straciła zaangażowanego naukowca i eksperta ale przede wszystkim Patriotę całym sercem i duchem oddanego Rzeczypospolitej. Odszedł przedwcześnie, miał tylko 57 lat. Będzie Go brakowało. R.I.P."
AndrzejDuda,"Z głębokim żalem żegnam Stanisława Szuszkiewicza, pierwszego przywódcę i ojca niepodległej Białorusi. Polska nigdy nie zapomni Jego roli w rozwiązaniu w 1991 r. Związku Sowieckiego i utworzeniu wolnej Białorusi, Ukrainy i innych państw. Niech spoczywa w Pokoju!"
AndrzejDuda,"Drodzy Maturzyści! Jutro rano zaczynacie swój maraton egzaminacyjny, jedną z najważniejszych prób w życiu. Razem z Agatą życzymy Wam sił, mądrości, wiary w sukces i świetnych wyników. Niech spełnią się wasze marzenia i plany! Powodzenia!💪👍🤞👩🏼‍🎓👨🏻‍🎓"
AndrzejDuda,"Dziś #DzieńFlagi. Wywieśmy biało-czerwone na naszych domach! 
Miłego dnia!👍🏼🇵🇱 https://t.co/o8Ie9hq9Fs"
AndrzejDuda,https://t.co/HvRobqPhsP
AndrzejDuda,"Oto tulipan „Agata Kornhauser-Duda”. Od dziś!😁 https://t.co/OnATHZHBFR
Bardzo dziękujemy Szanownym Państwu Grażynie i Bogdanowi Królik z Chrzypska Wielkiego w Wielkopolsce! https://t.co/alRwI1YiXu https://t.co/SraKEcDsRM"
AndrzejDuda,https://t.co/8Ap5Uswjpi 🇵🇱🤝🇺🇦
AndrzejDuda,"Serdecznie gratuluję Emmanuelowi Macronowi 🇫🇷 zwycięstwa w wyborach prezydenckich i reelekcji. W ostatnich miesiącach spotykaliśmy się wielokrotnie i bardzo cieszę się, że będziemy mogli kontynuować dialog 🇵🇱🇫🇷. Mes félicitations, cher @EmmanuelMacron !"
AndrzejDuda,79 lat temu w Getcie Warszawskim trwała już zacięta walka. Polscy Żydzi stanęli do boju o wolność i godność. Także o godną śmierć. Przez prawie miesiąc stawiali zacięty opór regularnym oddziałom niemieckich hitlerowców. Nie poddali się. Cześć i Chwała Bohaterom! https://t.co/xMuzyD7NH0
AndrzejDuda,"Dziękuję Funkcjonariuszom SOP oraz Wszystkim z innych Służb i Jednostek, które lubią być w cieniu, a wykonały gigantyczną robotę zapewniając bezpieczeństwo wizyty w Kijowie. To była praca setek Ludzi gotowych na każdą sytuację. Jestem z Was dumny!🇵🇱💪"
AndrzejDuda,"Władysław Stasiak był państwowcem. Zawsze powtarzał, żeby nie bać się silnej Polski. Zginął 10 kwietnia 2010 roku towarzysząc Prezydentowi Lechowi Kaczyńskiemu. Od dziś jedna z sal w KPRP nosi Jego imię. A ten film to wspomnienie o Nim. Pamiętamy! 🇵🇱 https://t.co/IEimdFhvxX https://t.co/8XiQrJ1G6S"
AndrzejDuda,"Dziś „po starej znajomości” stałem się posiadaczem przedpremierowego egzemplarza „Game changer. Za kulisami polityki” autorstwa Red. @michal_kolanko . To miłe, że mój dawny Student z „przedpolitycznych” czasów odnalazł mnie po latach nawet za kulisami polityki 😉. Dziękuję! https://t.co/HcDbdLYGbT"
AndrzejDuda,"Criminals must be called criminals, brought to justice and sentenced. Pictures from #Bucha disprove the  belief that we have to seek a compromise at any cost. In fact, the Defenders of Ukraine need three things above all: weapons, weapons and more weapons. #StandWithUkraine"
AndrzejDuda,"Wielkie gratulacje, podziękowania i wyrazy uznania dla Trenera @czesmich i Prezesa @Czarek_Kulesza . Jak mawiał niezapomniany Kazimierz Górski „Szczęście sprzyja lepszym!”. Brawo Panowie!!! 👏👏👏👏🍾🥂"
AndrzejDuda,Brawo BIAŁO-CZERWONI! POLSKA z podniesioną głową jedzie do KATARU! Wspaniały sukces po bardzo dobrym meczu! W pełni zasłużone zwycięstwo! DUMA! Dziękujemy!!! 🇵🇱👏👏👏👏
AndrzejDuda,"Today is the National Day of Remembrance of Poles saving Jews in WWII. A day of remembrance of the deepest humanity and love of the neighbor until death. With the deepest reverence and admiration, we remember Poles who provided help and often died doing so https://t.co/ynDJGqLSqY"
AndrzejDuda,"Dziś Narodowy Dzień Pamięci Polaków ratujących Żydów pod okupacją niemiecką. Dzień pamięci najgłębszego człowieczeństwa i miłości bliźniego aż do śmierci. Z najgłębszą czcią i podziwem wspominamy Rodaków, którzy nieśli pomoc i często płacili za to życiem... https://t.co/l9Kt4RoY3b"
AndrzejDuda,Madeleine Albright należała do grona architektów jednej z najodważniejszych decyzji w historii NATO. Także dzięki Niej Sojusz otworzył się na państwa zza żelaznej kurtyny. Polacy zawsze będą pamiętali o Jej zasługach dla naszego bezpieczeństwa. Niech spoczywa w Pokoju. RIP
AndrzejDuda,"I am deeply saddened, by the news about passing away of Madeleine Albright, who brought enormous contribution to the transatlantic community of security and of values, including to the accession of Poland and of other European countries to NATO."
AndrzejDuda,"As @ZelenskyyUa has told me, Russians from Syria are coming to UA, and mercenaries from the M.East support Russia. Syrians are the most numerous. 
He appeals: More NATO assistance to UA is needed!
But this also shows RU’s weakness and is an interesting signal for Turkey. 🇵🇱🤝🇺🇦"
AndrzejDuda,"Zdaniem @ZelenskyyUa na Ukrainę przybywają Rosjanie z Syrii, a dodatkowo wspierający RU najemnicy z Bliskiego Wschodu. Najwięcej jest Syryjczyków. W tej sytuacji trzeba więcej pomocy NATO dla UA! 
Ale to obrazuje też słabość Rosji i jest ciekawym sygnałem dla Turcji🇹🇷. 
🇵🇱🤝🇺🇦"
AndrzejDuda,"Z wielkim smutkiem przyjęliśmy z Agatą wiadomość o odejściu Prof. Mariana Zembali - wybitnego kardiochirurga, współtwórcy i dyrektora i lidera Śląskiego Centrum Chorób Serca w Zabrzu, światowej klasy naukowca, byłego Ministra Zdrowia, Człowieka o wielkiej osobowości. RIP"
AndrzejDuda,https://t.co/O9QgCqSvvm
AndrzejDuda,"President Lech Kaczyński was right when he said in Tbilisi in 2008, that: ""Central Europe has brave leaders.""  🇵🇱🇸🇮🇨🇿.  We need unity and strong support for Ukraine from the entire EU 🇪🇺. Poland is and will be the advocate of Ukraine! 🇵🇱🤝🇺🇦  https://t.co/GLo50sivml"
AndrzejDuda,"Racje miał prezydent Lech Kaczyński, gdy mówił w Tbilisi, że: „Europa Środkowa ma odważnych przywódców”. 🇵🇱🇸🇮🇨🇿. Potrzebna jest jedność i mocne wsparcie dla Ukrainy ze strony całej UE 🇪🇺. Polska jest i będzie adwokatem Ukrainy.🇵🇱🤝🇺🇦 https://t.co/0UqSdc8AOH"
AndrzejDuda,"The Russians keep carrying out targeted attacks, but they are not able to break our defense.  We are absolutely determined and will not give up.  Thank you for looking after our women and children - I have heard from @ZelenskyyUa today.
Ukraine's defenders need support!  
🇵🇱🤝🇺🇦"
