author,content
TateTheTalisman,"Giving dogs chemotherapy is animal abuse. 

Humans at least understand why they’re being tortured, dogs can’t make sense of it.

Spoil them for a month then have them put down, it’s cruel and ultimately very selfish to put an animal through that. 

(Yes I own dogs)"
TateTheTalisman,"Unpopular opinion - there is a physical difference in sex with women who have never used sex toys.

Blasting your vagina with battery powered gizmos has a physical effect and men can tell.

I don’t care who this offends."
TateTheTalisman,"Send this to a black or South American girl who needs to hear it …

If society would call a white woman “fat” for being the same size as you, you’re fat too. Stop hiding behind the word “thick”. 

Sincerely, 
Earth"
TateTheTalisman,Retweet for a chance to win 3 dollars and 24 cents.
TateTheTalisman,"Son of one of the greatest black chess masters ever, grandson of a black WWII vet, nobody could be prouder of their African American heritage than I am.

But white liberals can be programmed into believing I’m a racist because I once said men drive better than women?

The Matrix. https://t.co/PLpqQdBoN2"
TateTheTalisman,"Accomplishment honours your ancestors.

My grandfather is long dead, and had I not elevated myself to my current status nobody would see this photo.

How many likes can Emory Andrew Tate, WWII veteran get? 

Fought in the pacific against the Japanese.

Hope he’s proud of me. https://t.co/c9pBA3Pab7"
TateTheTalisman,"It’s not just that @adinross has grown on me, I’d go as far as to call him my friend.

Him and his team are good people and I believe with the right guidance he can be a shining example tothe youth of the world.

Only time will tell."
TateTheTalisman,"It’s true. 

https://t.co/V9aI41mnI3"
TateTheTalisman,"I’ve met Jake Paul once and I swear as god as my witness… I wouldn’t hook up with his ex. 

He’s a cool guy, basic bro code. 

Make whatever you will of this tweet, I mean every word."
TateTheTalisman,"So it’s fine to confiscate property from Russian oligarchs because they “obtained their money unfairly”.

Racist.

I put it to you that the average Russian millionaires money is no more “Ill gotten” than Nancy Pelosis.

When will the world seize the assets of western politicians?"
TateTheTalisman,"Money doesn’t make life great.

Money makes life easy.

An easy life can be great if you’ve become hardened through struggle.

An easy life will suffocate and rot the unprepared mind."
TateTheTalisman,"Escape the matrix.

https://t.co/V9aI41mnI3 https://t.co/7AjKoIjPUj"
TateTheTalisman,"America no longer has its monopoly and countries like Russia have leverage because of its energy abundance. 

American scientists appear to have cracked the fusion problem today. 

Coincidence? 

https://t.co/XCZvfkGqZA"
TateTheTalisman,“I don’t fuck with Andrew Tate he’s racist”. - a white guy. https://t.co/PhsWEjTf52
TateTheTalisman,Fun fact: I include @elonmusk in my daily prayers.
TateTheTalisman,"I’m secure enough to post these photos as a reminder that the work must never stop.

Months of physio, two surgeries and a total lack of physical training had me looking like this. 

This is me today just a few months later.

This isn’t “done” it’s just “progress”. Keep watching. https://t.co/mEJjTW1yKI"
TateTheTalisman,"I want to make a public announcement.

Since the shoulder reconstruction earlier this year the rehab as been gruelling, but I am now stronger than ever.

Within 1 year or so I WILL be accused of steroid use.

So I am putting this on the record now.

NO. Never have. Never will. https://t.co/H0tYyVVfDQ"
TateTheTalisman,"Bold and brazen kleptomania is a sign of mental illness. 

If only there were SOME indicator that Sam Brinton were mentally ill before putting him in charge of the United States nuclear waste disposal program. 

If only… there had been a sign… 😔 #MentalHealthAwareness https://t.co/C2ZDI8qpUv"
TateTheTalisman,"I’m live on rumble in 15 minutes.

https://t.co/48XQXDtqDC"
TateTheTalisman,"Im slowly following back my old friends from when I had twitter before.

Many of the @ addresses have slipped my mind.

Remind me who’s cool below."
TateTheTalisman,"If I were writing a book, what would you want my book to be about? Fiction or non fiction. Go."
TateTheTalisman,"If I’m in Dubai and a gorgeous woman messages me saying she’d love to hang out with me I always do the same thing.

I tell her I’m going somewhere cold and boring. “Babe next week I’ll be in Belgium let’s meet there”.

If she says yes, she wants to meet me not just get to Dubai."
TateTheTalisman,"So the little mermaid is black now.

What do you think of my take on it? 

Share with your black friends. 

https://t.co/nVVuaUoIQz"
TateTheTalisman,"Your typical university professor although knowledgeable will not be a millionaire. 

If you want to learn science learn from a scientist.

If you want to learn how to make money learn from a millionaire. 

Join The Real World.

https://t.co/1YbysbsssC"
TateTheTalisman,"Live tonight! Hit me with your best questions as a reply to this tweet and I may mention you on tonight’s episode. 

@rumblevideo 

Cigar Night Q&amp;A with Tristan Tate | Ep.2 https://t.co/oU00PnuBvW"
TateTheTalisman,"Enough of these Bond movies, we need a series true to the novels. Each book becomes an 8x1 hour series missing no detail.

Set in the original time period, the smoking, the womanising, the distasteful language and the drinking with no punches pulled.

@mgmstudios call my agent. https://t.co/D6s7EzF0an"
TateTheTalisman,"Never forget that the most respected woman in Islam (mentioned in the Quran over 70 times) is “Maryam”.

Or as us Christian’s call her, Mary mother of Jesus Christ who himself is a fundamental figure in the Islamic faith.

Do not tell me there is no common ground to stand on."
TateTheTalisman,"My involuntarily hiatus from twitter has been a time of evolution and growth.

Since vanishing I have grown my net worth by 100 times, sharpened my mind and even had children.

This twitter account will be a beacon for motivation, rationality and truth.

Enjoy the show.

Tristan. https://t.co/OGbhwcXfuP"
