author,content
jordanbpeterson,Turns out we need electricity. Who'd have guessed it? https://t.co/qAXpvbw31C
jordanbpeterson,30000 have signed this in the last few days: https://t.co/atx8Bvkxez
jordanbpeterson,This is pretty nice.
jordanbpeterson,Keep your kids home Canadians.
jordanbpeterson,I'm shocked. Shocked I say.
jordanbpeterson,For the environmental zealots this is a feature not a bug https://t.co/DW2YeggaZH
jordanbpeterson,Dr W: stupid people need grants too.
jordanbpeterson,Imagine that.
jordanbpeterson,DIE rot apparently begins at the head https://t.co/9ZRr3ljNcJ https://t.co/J7cw5uYqv5
jordanbpeterson,Appalling doublespeak ideological claptrap.
jordanbpeterson,AFL 2023: Crows ruckman Reilly O’Brien responds to Jordan Peterson outrage https://t.co/xXE1qXC6go via @thetiser
jordanbpeterson,Thank you @BasedMikeLee
jordanbpeterson,Maybe we should push a virgin into a volcano...
jordanbpeterson,An interesting thread...
jordanbpeterson,Do you want the government to hold the threat of suspension of livelihood and public shame over those who disagree with them?
jordanbpeterson,"Why should anyone care? Do you want your professionals to be forced to lie to you? When you are in the midst of a serious medical, psychological or legal crisis? @CPOntario"
jordanbpeterson,I wrote to @JustinTrudeau and published that in the @nationalpost -- since part of the reason I have been sentenced was for criticizing Canada's Prime Minister and his cronies: https://t.co/uk1d2DZg93
jordanbpeterson,"Here is a previous thread outlining some relevant background, both practical and conceptual: https://t.co/WrN8iBt6of"
jordanbpeterson,There appears to be some interest from the public in sharing my mandatory re-education @CPOntario take note: https://t.co/FhAtpIq3Gk
jordanbpeterson,"Here is the summary and decision/sentence already handed down by the College of Psychologists of Ontario 
@CPOntario: https://t.co/QlqytIEyrF"
jordanbpeterson,"Here is a previous thread outlining some of the relevant background, conceptual and practical: https://t.co/PD48euMgAG"
jordanbpeterson,"I am making all this as public as possible to shed light on the machinations of professional colleges, which now routinely pressure their members to abide by the diktats of the politically correct."
jordanbpeterson,"Here is updated documentation relevant to my pending Ontario College of Psychologists' re-education (screenshots of the ""charges""; redundant pages removed: https://t.co/SXcOD0naTW
In this thread I will also post the entirety of their summary and decision. Take note @CPOntario"
jordanbpeterson,From Italy https://t.co/B2NfDp4LfA
jordanbpeterson,It's because I have their number:  https://t.co/x1ICAb2PPv
jordanbpeterson,https://t.co/SyjTE48xIH
jordanbpeterson,The term doesn't imply. It directly indicates.
jordanbpeterson,No moral hazard here folks. Move on....
jordanbpeterson,The Scandinavians are coming to their senses.
jordanbpeterson,"Michael Malice with @MikhailaFuller on Why You Should Leave New York, Bad Relationships, and ... https://t.co/PTyPC4kRuZ via @YouTube"
jordanbpeterson,Rupa Subramanya: Jordan Peterson is being punished for daring to contradict leftist orthodoxy https://t.co/xH03Te0IaS via @nationalpost
jordanbpeterson,https://t.co/CHuw7M1No1
jordanbpeterson,"Do these count as complaints, as did the tweets you counted? But this is just 4000X times as many...."
jordanbpeterson,Looks like about 50000 more people in approx three days would rather the Ontario College of Psychologist commissars resign (instead of approving of them disciplining me). How does this stack up against a dozen complaints @CPOntario?
jordanbpeterson,Where'd you go @charlesadler ? Don't want to play your brutal game anymore? https://t.co/N8vTWzVYDs
jordanbpeterson,Documentary preview: my Logos &amp; Literacy : a DWPlus production https://t.co/79VviIHfcQ via @YouTube
jordanbpeterson,Does this make any difference @CPOntario ? Would a few thousand more? Didn't think so... https://t.co/qr3CLTVBsx
jordanbpeterson,"To the commissars at the Ontario College of Psychologists--right, colleagues?  @CPOntario"
jordanbpeterson,This is true. Fatherlessness is an intergenerational catastrophe @JoelBrownMD
jordanbpeterson,"Os Guiness, a very wise man, interviewed by John Anderson, a very wise man: Forgiveness Overcomes Cancel Culture https://t.co/B855XbLO4x via @YouTube"
jordanbpeterson,And consider watching this: the wounds that don't heal: https://t.co/Y0XQSNQ5qL
jordanbpeterson,In what universe is this action by @PPFA not utterly monstrous? A cold can't be assessed remotely in 30 minutes. I'm saying it bluntly: this is as bad as the Tuskegee experiment. This is as bad as Auschwitz medical barbarism: https://t.co/aqK0HIwd1p https://t.co/o0PTZ73cMG
jordanbpeterson,"Deny them coal because ""the planet"" says the woke apocalypsts who simultaneously decry ""colonialism."""
jordanbpeterson,Obligan al psicólogo Jordan Peterson a completar un curso de «reeducación» por criticar a Trudeau https://t.co/Xk0Dau0WyG
jordanbpeterson,https://t.co/GuhCwxpAlx
jordanbpeterson,"What have I said that you regard as worthy of quasi-criminal persecution? And I'm telling you straight:you should be praying that the forces you are pleased to see arrayed against me are never brought to bear on you. Karma, Mr ""Ace"": hope you never have reason to rue your words."
jordanbpeterson,We'll see about that. And what exactly is the point you're making?
jordanbpeterson,"Only when the system is corrupt. And what exactly do you consider my crime, or are you just carping stupidly and carelessly from the safe sidelines?"
jordanbpeterson,And why do you think in your pathetic envious manner that this is the issue at hand?
jordanbpeterson,Poor us: all we did was publicly denigrate someone's reputation and threaten his livelihood and he oppressed us by revealing exactly what we were doing @CPOntario are you ready to resign yet or are you going to play out the whole drama? I'm fully and complete prepared either way
jordanbpeterson,The compassionate narcissists of modern woke left regard self-defence--which in this case is pure revelation of the unvarnished facts of the matter--as harassment. And that will be the tack most likely taken by the @CPOntario commissars:
jordanbpeterson,Which makes you an all-too-typical example of the modern derelict posing as a journalist
jordanbpeterson,I think your enterprise is the worst sort of scandal-mongering reputation-savaging narcissistic rag @JesseBrown @Canadaland and that you are more than willing to make your reputation with innuendo and denigration at the expense of others
jordanbpeterson,"I think there's a 50% chance that @CPOntario will prevail in imposing its sentence and suspending my licence, despite whatever degree of public support there might be for my case. Canada is a lot farther gone than it might appear..."
jordanbpeterson,"Wake up, citizens: professionals are now required to hold their tongue if they believe anything politically verboten. For all you leaning to the left--sometimes validly: these precedents will eventually be weaponized by those who stand opposed to you"
jordanbpeterson,https://t.co/xupTaWAC1r @PierrePoilievre
jordanbpeterson,String from a fellow psychotherapist....
jordanbpeterson,https://t.co/BVKUgj0U3C
jordanbpeterson,https://t.co/MT2N9y5bgP
jordanbpeterson,https://t.co/4s1yPVUklz
jordanbpeterson,And maybe we could read small children stories at the same time... @GadSaad
jordanbpeterson,His brother is apparently not one of those so fooled. But what would he know? https://t.co/jbP9DLHC9R
jordanbpeterson,Expect much more of this. For shame @metpoliceuk you have become veritable thought police.
jordanbpeterson,"Since it needs to be said: who you want to have sex with is not ""your identity"""
jordanbpeterson,"""Rainbow themed merchandise""'purchase by police as part of the LGBT (etc. etc. ad absurdum ad nauseum) lobby's happiness ""or else"" policy"
jordanbpeterson,"I'll post my talk with Judith Curry this week @curryja and I think we'll escape any attempts at censorship although @YouTube will inevitably add a pathetic and manipulative bit of Orwellian double-speak ""context"" information just to show they can..."
jordanbpeterson,There is truth in this
jordanbpeterson,Climate doomsters are once again hijacking science to push a toxic agenda https://t.co/YVwmJ17XCv
jordanbpeterson,This is quite beautiful...
jordanbpeterson,https://t.co/wpvUqwLC0k
jordanbpeterson,Let's talk about your book on my podcast @BillMorneau6 soon
jordanbpeterson,Right from the horse's mouth: @JustinTrudeau's former Finance Minister on our PM's self-centred narcissism and lack of interest in economic policy https://t.co/9OwpViI1w4 @BillMorneau6 https://t.co/cjP0BIeO1s
jordanbpeterson,https://t.co/ffV3F5fLep
jordanbpeterson,"You'd imagine that a ""reporter"" would have enough sense to stand stalwartly for free speech."
jordanbpeterson,https://t.co/yDwhapLNkE
jordanbpeterson,https://t.co/LN0OceYRB7
jordanbpeterson,https://t.co/SJ7gvxmAcQ
jordanbpeterson,https://t.co/lIpLB4OHKS
jordanbpeterson,"Not true, yet. But soon. But Canadians insist on sleeping in the daze produced by @JustinTrudeau's narcissistic compassion and undeniable celebrity charisma. You can fool some of the people, some of the time..."
jordanbpeterson,https://t.co/kJi3r0EXln
jordanbpeterson,https://t.co/uBR68w4pxX
jordanbpeterson,https://t.co/TZnY5n8UsQ
jordanbpeterson,https://t.co/BLtdvKwrIJ
jordanbpeterson,https://t.co/NKoRuCWmR4
jordanbpeterson,https://t.co/2LKtAEGUXQ
jordanbpeterson,Sorry to hear about your YouTube demonetization @BretWeinstein isn't it ironic that the word is so closely akin to demonization.... What's up @YouTube? How dare you? Has the FBI been knocking on your door? Or the Biden admin?
jordanbpeterson,Hey @joerogan and @BretWeinstein this is even more preposterous than you think: https://t.co/lsWLODCJKl
jordanbpeterson,It was good to see you Nicole. Happy New Year @NicoleArbour
jordanbpeterson,"For all you tweeting your admiration for @atRachelGilmore: she is not ""reporting"" any of this. She is merely copying and retweeting what I already voluntarily posted. There is no inquiry or journalism involved, regardless of the innuendo (""strap in"")."
jordanbpeterson,"And why do you care, exactly, since you already screenshotted and reposted almost all of it? A little more innuendo to spread, perhaps? https://t.co/ez3eSzK9as And you can tell how much I have to hide by the fact that I am reposting your thread..."
jordanbpeterson,It's just because I know that I'm too old to change :) @bariweiss
jordanbpeterson,"Don't get yourself in a self-righteous knot: it'll be back up soon, in identical form, but slightly different file format... 

You really don't learn, do you?"
jordanbpeterson,Maybe we could whip each other @GadSaad and charge the woke to watch...
jordanbpeterson,"If you go, please be good."
jordanbpeterson,Read the court filing by Jordan Peterson against the College of Psychologists of Ontario https://t.co/axwx1SYUnQ
jordanbpeterson,EDITORIAL: The Orwellian re-education of Jordan Peterson https://t.co/3U2dJguVoC
jordanbpeterson,Why indeed?
jordanbpeterson,The cancelled and still-banned-from-Twitter Professor Michael Rectenwald's new book: https://t.co/rrNZmaBVTT @elonmusk perhaps he's someone to look into re Twitter ban
jordanbpeterson,"It is definitely the case. One complainant, whose actions were supported by @CPOntario, claimed that my political tweets were in and of themselves evidence of mental illness. https://t.co/DLltyXAGRi https://t.co/1JEcx3c9KN"
jordanbpeterson,Only 4200% (!) https://t.co/VSNlq3MgEa via @collegefix
jordanbpeterson,From the article https://t.co/kzB1bddl0o
jordanbpeterson,Rex Murphy: Jordan Peterson's foes need their heads examined https://t.co/9lnrTGunfb via @nationalpost
jordanbpeterson,How funny is this @CBC obviously time to ramp up the corporate DIE virtue-signaling to an even more fevered pitch
jordanbpeterson,"Young people: this is information you need: from Fossil Future by Alex Epstein. You don't have to give up your opportunity, mobility, warmth and freedom to ""save the planet."" Don't let the eco-moralizers steal your future. https://t.co/ZoSXnWjnsq"
jordanbpeterson,Happy New Year sir @JonHaidt
jordanbpeterson,Rule 1 from 12 Rules of life...
jordanbpeterson,"This is because of increased ""climate variability."" Remember: you read it here first. This will be the next pivot term--global warming, superseded by climate change, replaced by climate variability. Same apocalypse, though :)"
jordanbpeterson,"Bari Weiss's Free Press, commenting on my sentencing at the hands of the @CPOntario commissariat https://t.co/zMkro1j8vH https://t.co/KjzYSD1On3"
jordanbpeterson,"Query for @CPOntario if I am the paying client for my mandatory re-education, can I film the interchange and post it on YouTube so everyone can learn? And the public says:"
jordanbpeterson,I have been sentenced by @CPOntario to mandatory communications retraining in part because I retweeted @PierrePoilievre. It's time for the commissars there to resign.
jordanbpeterson,Read the tweets that got Jordan Peterson investigated by College of Psychologists. https://t.co/UR5d5PxhYV
jordanbpeterson,Michael Higgins: Jordan Peterson resists his critics’ clumsy forced re-education. https://t.co/2LKtAEGUXQ
jordanbpeterson,Read the court filing by Jordan Peterson against the College of Psychologists of Ontario. https://t.co/axwx1SZsdo
jordanbpeterson,"Thanks Mik @MikhailaFuller 2023 seems to be going pretty good so far (you know, except for the mandatory commissar-required social media communication retraining required of me now in Canada) https://t.co/nppcGAH5fx via @YouTube"
jordanbpeterson,Ontario College of Psychology Demands ‘Retraining’ for Conservative Pundit Jordan Peterson https://t.co/HccZgiHKiq via @JewishPress
jordanbpeterson,Canada to re-educate Jordan Peterson for ‘wrongthink’ https://t.co/6y5KeZFsZy
jordanbpeterson,Jordan Peterson investigated for allegedly criticizing Trudeau https://t.co/WqOGycHm4o via @MailOnline
jordanbpeterson,Former Premier of Newfoundland Brian Peckford on my very public dispute with @CPOntario and their re-education (or else) demand: https://t.co/OA98oTKvkn
jordanbpeterson,The American Thinker on my dispute with @CPOntario (actually their conviction of me): https://t.co/wLgq7HmFxw
jordanbpeterson,The Campaign to Re-Educate Jordan Peterson https://t.co/dsIcUYu94G
jordanbpeterson,Psychologist Jordan Peterson could lose license if he refuses social media 're-education' https://t.co/9nueeGcCV0 via @nypost
jordanbpeterson,The pathetic treatment of Jordan B Peterson proves that Trudeau’s fear is real https://t.co/xlaXdGaR7t
jordanbpeterson,The College of Psychologists of Ontario is demanding that Jordan Peterson acknowledge he “lacked professionalism” in public statements and undergo a “coaching program.” https://t.co/h0rqUeGrdY via @WSJ
jordanbpeterson,Why is ‘nice’ Canada going after the world-famous Jordan Peterson? https://t.co/uNH1D1fEwU via @scmpnews
jordanbpeterson,"No, Jordan Peterson Isn't On Trial, Freedom Of Speech Is https://t.co/BVKUgj0U3C via @TheDeepDive_ca"
jordanbpeterson,I Will Risk My Licence To Escape Re-Education  https://t.co/Be9XVDGFMG
jordanbpeterson,Renowned Psychologist Jordan Peterson Ordered to Submit to Woke Retraining or Lose License | CBN News https://t.co/DLAXP9rBve via @CBNNews
jordanbpeterson,Re the Ontario@College of Psychologists @CPOntario https://t.co/Cwod7JRZej
jordanbpeterson,You have my condolences. Today's Canada...
jordanbpeterson,Is Bell Media of the opinion that a black man should know his proper political place? And is that helpless victim? ⁦@jamiljivani⁩  https://t.co/e52p7KGj45
jordanbpeterson,Lomborg's False Alarm and Epstein's Fossil Future
jordanbpeterson,The Toronto Sun @torontosun and Brian Lilley on @CPOntario vs Dr Jordan B Petersonhttps://torontosun.com/opinion/columnists/lilley-jordan-peterson-will-use-charter-challenge-over-being-disciplined-for-tweets-about-covid-and-climate-change
jordanbpeterson,Sheila Gunn Reid covers the sentencing meted out to me by the Ontario College of Psychologists @CPOntario https://t.co/HmbMtdebrS
jordanbpeterson,The Australian covers my sentencing by the Ontario College of Psychologists @CPOntario https://t.co/C9boVqplf7
jordanbpeterson,"What a surprise. You're a professor. At Carleton. At the School of Journalism and Communication. My apologies: after all, there are no punitive woke ideologues at schools of journalism."
jordanbpeterson,"Wait until they come for you, moralist. Remember your words then."
jordanbpeterson,Does anyone know what share of the advertising revenue @YouTube and @Google take from those they host? @elonmusk are you going to make Twitter into a mass video-hosting competitor? One is very badly needed. https://t.co/qTo5tfVYMk
jordanbpeterson,"The people I am being forced to pay to retrain me. Which is quite convenient for them, I must say @CPOntario"
jordanbpeterson,Here's an explanatory thread: https://t.co/2Nj57NXJLS
jordanbpeterson,"I agree. Otherwise, they would be opposing me, and there appears to be little of that. Unless they're also afraid of my alt-right mob of Albertans, incels, n'eer-do-wells, misogynists, transphobes, bigots, carbon-dioxide emitters and other assorted opponents of @JustinTrudeau :)"
jordanbpeterson,"How much re-education? Until I learn my lesson. In other words, when hell freezes over. Of course, I rejected the request. So we'll see what happens next: disciplinary tribunal and seizure of my license (plus mandatory public shaming). That's the promise. Right @CPOntario?"
jordanbpeterson,"Here is all the documentation relevant to the Ontario College of Psychologists' decision to require me to undergo mandatory media use re-education (with one of their ""experts""): Take note @PierrePoilievre and @JustinTrudeau https://t.co/7kekpXTQtt (screenshots)"
jordanbpeterson,"Tammy and I plan to tour Europe again in the spring. Last week of April; first two weeks of May. Denmark, Greece, Portugal, Netherlands, Belgium, Bulgaria, Cyprus (!). Also Israel (Tel Aviv). Announcement soon."
jordanbpeterson,"It was another joke. Ha ha, you know? Joke? Remember that?"
jordanbpeterson,"Have we seen a stampede of professionals in Canada rush to my support on Twitter? No. Why? Are they dead-set against me (although also not indicating that) inappropriately cowardly, justly concerned about the reaction of their ""regulatory"" boards, or inappropriately timid?"
jordanbpeterson,"The spelling mistake, by the way, was intentional, in reference to an earlier spelling mistake, which was not."
jordanbpeterson,says the pathetic cowardly troll-demon from behind the shield of his mighty anonymity
jordanbpeterson,Coward :) @GadSaad: You must work at @Concordia
jordanbpeterson,"There's no ""private"" left @ChanLPfa (at least not left on the left)"
jordanbpeterson,"From bio: ""Twitter master with 61000 followers"""
jordanbpeterson,Apologies for the misspelling and too late to edit I meant of course @JustinTrudeau
jordanbpeterson,Which tyrant?
jordanbpeterson,"During wartime, finding beauty is the key to survival https://t.co/s5Mk5PX90c via @BostonGlobe"
jordanbpeterson,"Actually I believe people can think when provided with valid information, which is why I am making all this public."
jordanbpeterson,:) https://t.co/kccUtf9jvy
jordanbpeterson,"What ThoughtCrime did I commit against @JustinTrudeau (thereby bringing ""disgrace"" to the profession of psychology in Ontario): See below. And what is the PM's tweet about? The right to protest in Canada.... 

We are truly living in Dadaist times in this country. https://t.co/qp0Fngxl4M"
jordanbpeterson,"This complaint was a retweet copied to @CPOntario. I joked about NZ PM @jacindaardern.  I sent this just before I recently toured in NZ, when papers there were noting the visit). Hi there, Ms. Ardern: 👋anything to say about your comrade-in-arm's @JustinTrudeau's new Canada? https://t.co/q0LCpWhHoa"
jordanbpeterson,It's really quite remarkable that every single thing I said for three hours is grounds for forced re-education :) @CPOntario
jordanbpeterson,"One complainant literally submitted the ENTIRE TRANSCRIPT of the last three hour conversation I had with @joerogan. Joe, I think this is your fault :)"
jordanbpeterson,An example of two of the tweets I have been sentenced to re-education for daring to post. Imagine re-tweeting the leader of Canada's Loyal Opposition @PierrePoilievre and that equally reprehensible scoundrel (perhaps even worse :) @benshapiro https://t.co/LGRfWWFO4t
jordanbpeterson,Perhaps they've already said enough @CPOntario: https://t.co/ffqfklmo2C
jordanbpeterson,"A consequence of the allegations of @CPOntario Top Twitter Trend Today: Peterson
Was trending at #️21 with 41K tweets about 3 hours ago.
Started trending about 5 hours ago.
(via https://t.co/X3kGj9hFPe)"
jordanbpeterson,Here's an explanatory thread: https://t.co/I7nYNAX05W
jordanbpeterson,It's more like a black comedy--conceived by an illiterate :)
jordanbpeterson,Thank you sir @PageauJonathan
jordanbpeterson,Always good to see a non-woke academic self-administer the punishment so devoutly desired by his ideological opponents :) @GadSaad
